Date,Historical Adj Close,Volume,Daily New Cases,Adj Close
2014-10-01 00:00:00,90.459999,24419400,0,86.099998
2014-10-02 00:00:00,88.75,24029600,0,87.059998
2014-10-03 00:00:00,88.849998,21469700,0,88.099998
2014-10-06 00:00:00,86.099998,18485700,0,88.309998
2014-10-07 00:00:00,87.059998,9268400,0,87.669998
2014-10-08 00:00:00,88.099998,12791700,0,88.300003
2014-10-09 00:00:00,88.309998,10252600,0,88.790001
2014-10-10 00:00:00,87.669998,21507000,0,85.879997
2014-10-13 00:00:00,88.300003,15431400,0,85.120003
2014-10-14 00:00:00,88.790001,14845000,0,84.949997
2014-10-15 00:00:00,85.879997,15559200,0,85.599998
2014-10-16 00:00:00,85.120003,16824300,0,88.849998
2014-10-17 00:00:00,84.949997,15232000,0,87.910004
2014-10-20 00:00:00,85.599998,17360700,0,88.260002
2014-10-21 00:00:00,88.849998,9891400,0,90.900002
2014-10-22 00:00:00,87.910004,23243800,0,91.629997
2014-10-23 00:00:00,88.260002,20364500,0,94.449997
2014-10-24 00:00:00,90.900002,20641000,0,95.760002
2014-10-27 00:00:00,91.629997,32132600,0,97.790001
2014-10-28 00:00:00,94.449997,28302400,0,99.68
2014-10-29 00:00:00,95.760002,32127600,0,98.309998
2014-10-30 00:00:00,97.790001,28655400,0,98.730003
2014-10-31 00:00:00,99.68,15484600,0,98.599998
2014-11-03 00:00:00,98.309998,18128300,0,101.800003
2014-11-04 00:00:00,98.730003,40883700,0,106.07
2014-11-05 00:00:00,98.599998,67814000,0,108.669998
2014-11-06 00:00:00,101.800003,48344000,0,111.57
2014-11-07 00:00:00,106.07,33609000,0,114.559998
2014-11-10 00:00:00,108.669998,51457000,0,119.150002
2014-11-11 00:00:00,111.57,75971000,0,114.540001
2014-11-12 00:00:00,114.559998,70983600,0,118.199997
2014-11-13 00:00:00,119.150002,53908000,0,114.839996
2014-11-14 00:00:00,114.540001,62163000,0,115.099998
2014-11-17 00:00:00,118.199997,29849000,0,114.25
2014-11-18 00:00:00,114.839996,22573000,0,110.809998
2014-11-19 00:00:00,115.099998,41098000,0,108.82
2014-11-20 00:00:00,114.25,46841000,0,109.82
2014-11-21 00:00:00,110.809998,36489000,0,110.730003
2014-11-24 00:00:00,108.82,27432000,0,113.919998
2014-11-25 00:00:00,109.82,20646000,0,113.470001
2014-11-26 00:00:00,110.730003,23485000,0,112.669998
2014-11-28 00:00:00,113.919998,11794700,0,111.639999
2014-12-01 00:00:00,113.470001,8077800,0,105.989998
2014-12-02 00:00:00,112.669998,38464200,0,109.889999
2014-12-03 00:00:00,111.639999,18785000,0,110.639999
2014-12-04 00:00:00,105.989998,16221100,0,109.169998
2014-12-05 00:00:00,109.889999,10779300,0,107.900002
2014-12-08 00:00:00,110.639999,12148100,0,105.07
2014-12-09 00:00:00,109.169998,19217300,0,107.480003
2014-12-10 00:00:00,107.900002,24866800,0,103.879997
2014-12-11 00:00:00,105.07,18466700,0,104.970001
2014-12-12 00:00:00,107.480003,15684300,0,105.110001
2014-12-15 00:00:00,103.879997,14537600,0,104.699997
2014-12-16 00:00:00,104.970001,16521800,0,105.769997
2014-12-17 00:00:00,105.110001,21700600,0,109.019997
2014-12-18 00:00:00,104.699997,17311100,0,109.25
2014-12-19 00:00:00,105.769997,22788100,0,110.650002
2014-12-22 00:00:00,109.019997,14857800,0,108.769997
2014-12-23 00:00:00,109.25,13041200,0,105.519997
2014-12-24 00:00:00,110.650002,19096300,0,105.949997
2014-12-26 00:00:00,108.769997,5870400,0,105.949997
2014-12-29 00:00:00,105.519997,6529100,0,105.980003
2014-12-30 00:00:00,105.949997,8068600,0,105.75
2014-12-31 00:00:00,105.949997,10205700,0,103.940002
2015-01-02 00:00:00,105.980003,10221600,0,103.599998
2015-01-05 00:00:00,105.75,12303400,0,101
2015-01-06 00:00:00,103.940002,18337000,0,103.32
2015-01-07 00:00:00,103.599998,15720400,0,102.129997
2015-01-08 00:00:00,101,11052200,0,105.029999
2015-01-09 00:00:00,103.32,12942100,0,103.019997
2015-01-12 00:00:00,102.129997,10222200,0,101.620003
2015-01-13 00:00:00,105.029999,7997200,0,100.769997
2015-01-14 00:00:00,103.019997,11294400,0,99.580002
2015-01-15 00:00:00,101.620003,17808000,0,96.309998
2015-01-16 00:00:00,100.769997,18260100,0,96.889999
2015-01-20 00:00:00,99.580002,13327900,0,100.040001
2015-01-21 00:00:00,96.309998,12105600,0,103.290001
2015-01-22 00:00:00,96.889999,15186900,0,104
2015-01-23 00:00:00,100.040001,11433000,0,103.110001
2015-01-26 00:00:00,103.290001,9873800,0,103.989998
2015-01-27 00:00:00,104,10664900,0,102.940002
2015-01-28 00:00:00,103.110001,15659900,0,98.449997
